,city,property_type,lat,long,bedrooms,bathrooms,price
41,Paris,Appartement,48.85952617227817,2.3803699344165596,1,1.0,83
42,Paris,Appartement,48.87938869285632,2.3587564999276887,0,1.0,41
43,Paris,Appartement,48.863567096247,2.3540694152850863,1,1.0,78
44,Paris,Appartement,48.8605270471508,2.353957609593872,1,1.0,56
45,Paris,Appartement,48.86109023268788,2.360999135400952,0,1.0,36
46,Paris,Appartement,48.85900076968765,2.3612857854644487,0,1.0,74
47,Paris,Appartement,48.860591206652515,2.3503288425314515,0,1.0,78
48,Paris,Appartement,48.85658703713592,2.3499886991823695,1,1.0,170
49,Paris,Appartement,48.83873212048658,2.3449293674649754,1,1.0,41
0,Marseille,Appartement,43.292878554151095,5.3682341254649595,0,1.0,44
1,Marseille,Appartement,43.29848441775235,5.3665853921221025,1,1.0,62
2,Marseille,Appartement,43.28938811730001,5.383942584696577,1,1.0,31
3,Marseille,Appartement,43.289478762071994,5.3740589153266605,1,0.5,30
4,Marseille,Appartement,43.30485578341246,5.38106020724368,1,1.0,26
5,Marseille,Appartement,43.29402860200035,5.389502392333716,1,1.5,29
6,Marseille,Appartement,43.30223585807076,5.386885690274009,1,1.0,20
7,Marseille,Loft,43.293886798913995,5.373086387202772,1,1.0,41
8,Marseille,Appartement,43.28558248151876,5.378546071807342,1,1.5,71
9,Marseille,Appartement,43.29811802466007,5.383808378145761,0,1.0,26
10,Marseille,Appartement,43.2950843899507,5.377380448439351,0,1.0,40
11,Marseille,Appartement,43.2467374624731,5.400406459444766,0,1.0,31
12,Marseille,Appartement,43.28190063869537,5.385266138317009,1,1.0,20
13,Marseille,Appartement,43.300107636381334,5.386135897191892,1,1.0,41
14,Marseille,Appartement,43.295239527193466,5.381639998360853,1,1.0,26
15,Marseille,Appartement,43.29705975311308,5.372876636659196,1,1.0,36
16,Marseille,Appartement,43.287244883453255,5.365355524171417,1,1.0,51
17,Marseille,Appartement,43.29988701201335,5.367591118216474,0,1.0,38
18,Marseille,Appartement,43.293242494830984,5.375922383084673,1,1.0,56
19,Marseille,Appartement,43.292334943210044,5.371928699159283,2,1.0,144
20,Marseille,Appartement,43.2965253881788,5.380987387959861,1,1.0,51
21,Saint-Victoret,Maison,43.406866061881765,5.269491841757023,1,1.0,56
22,Marseille,Bed & Breakfast,43.28916496621155,5.372295825784157,1,1.0,83
23,Marseille,Appartement,43.296997544512436,5.370218244272448,1,1.0,92
24,"Marseille, Provence-Alpes-Côte d'Azur, FR",Appartement,43.308174902283675,5.375470509713962,2,1.0,30
25,Marseille,Appartement,43.292500166462254,5.371684221238295,1,1.0,51
26,Marseille,Appartement,43.300735179170566,5.368995336951239,0,1.0,41
27,Marseille,Appartement,43.30052010002355,5.369770741489584,1,1.0,20
28,Marseille,Appartement,43.29868457799081,5.393781284045529,0,1.0,30
29,Marseille,Appartement,43.30096172313884,5.376913720098326,1,1.0,22
30,Marseille,Appartement,43.29290908679569,5.372955427535785,1,1.0,64
31,Marseille,Appartement,43.297562329672374,5.369789415784581,2,1.0,33
32,Marseille,Appartement,43.29584781749318,5.380078313103338,1,1.0,30
33,Marseille,Appartement,43.29345672322506,5.383453039907,1,1.0,20
34,Marseille,Appartement,43.297004780179606,5.368670435821481,2,1.0,47
35,Marseille,Appartement,43.2989718455036,5.386998624573457,0,1.0,30
36,Marseille,Appartement,43.301625893990945,5.385720177981531,0,1.0,24
37,Marseille,Appartement,43.29887805739083,5.368251110791139,1,1.0,62
38,Marseille,Maison,43.29683224040706,5.365874430662875,1,1.0,58
39,Marseille,Maison,43.29430043747641,5.382726699826122,1,2.0,36
40,Marseille,Appartement,43.287208029485384,5.355623843101391,0,1.5,39
41,Marseille,Appartement,43.23106471721371,5.362992490624325,2,1.0,51
42,Marseille,Appartement,43.2992933135047,5.398059820449903,1,1.0,31
43,Marseille,Appartement,43.299877132210206,5.366220556236565,1,1.0,36
44,Marseille,Appartement,43.29917092115749,5.3677252639395,1,1.0,39
