,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
169,37000,France,Tours,44,2,1,1,531.53
170,37000,France,Tours,48,2,1,1,533
171,37000,France,Tours,47,2,1,1,534
172,37100,France,Tours,48,2,1,1,534
173,37500,France,Chinon,61.15,3,1,2,535
174,37270,France,Montlouis-sur-Loire,57,2,1,1,535
175,37300,France,Joue les Tours,52.3,3,1,2,537
176,37000,France,Tours,49,2,1,1,441
177,37200,France,Tours,49,2,1,1,539
178,37200,France,Tours,53.21,2,1,1,540
179,37540,France,St Cyr sur Loire,61,3,1,2,540
180,37200,France,Tours,42,2,1,1,540
181,37100,France,Tours,44,2,1,1,540
182,37000,France,Tours,42,2,1,1,542
183,37100,France,Tours,54.03,3,1,2,545
184,37200,France,Tours,44,2,1,1,546
185,37170,France,Chambray les Tours,49,2,1,1,549
186,37000,France,Tours,52.4,2,1,1,549
187,37150,France,Blere,64,3,1,2,520
188,37000,France,Tours,49.49,2,1,1,550
189,37000,France,Tours,57,2,1,1,550
190,37000,France,Tours,49.12,2,1,1,550
191,37000,France,Tours,25,2,1,1,500
192,37700,France,St Pierre des Corps,54,2,1,1,550
193,37200,France,Tours,45.86,2,1,1,551
194,37550,France,Saint Avertin,52,2,1,1,554
195,37000,France,Tours,60,2,1,1,555
196,37000,France,Tours,47,2,1,1,555
197,37500,France,Chinon,86.5,4,1,3,556
198,37100,France,Tours,45,2,1,1,556
199,37200,France,Tours,42.33,2,1,1,557
0,38200,France,Vienne,65,3,1,2,375
1,38000,France,Grenoble,54.83,2,1,1,590.75
2,38090,France,Villefontaine,64,3,1,2,630
3,38300,France,Bourgoin Jallieu,84.08,4,1,3,750
4,38130,France,Echirolles,68,3,1,2,800
5,38110,France,La Tour du Pin 2min A43,54.73,2,1,1,490
6,38110,France,La Tour du Pin,59,3,1,2,550
7,38460,France,Cremieu,69.6,3,1,2,555
8,38130,France,Echirolles,66,3,1,2,823
9,38780,France,Pont Eveque,30,1,1,1,460
10,38000,France,Grenoble,48,2,1,2,630
11,38000,France,Grenoble,105,3,1,1,983
12,38110,France,St Clair de la Tour,39.07,2,1,1,300
13,38270,France,Beaurepaire,75,2,1,1,400
14,38480,France,Le Pont de Beauvoisin,35,2,1,1,440
15,38200,France,Vienne,57,2,1,1,457
16,38000,France,Grenoble,44,2,1,1,490
17,38070,France,St Quentin Fallavier,55,2,1,1,545
18,38000,France,Grenoble,50.57,2,1,2,590
19,38210,France,Polienas,75,3,1,2,600
20,38110,France,La Tour du Pin,62.32,3,1,1,666
21,38200,France,Vienne,62,2,1,2,704
22,38300,France,Bourgoin Jallieu,69,3,1,3,784.5
23,38000,France,Grenoble,89.42,4,1,2,830.48
24,38000,France,Grenoble,13.63,1,1,1,362
25,38200,France,Vienne,35,1,1,2,410
26,38000,France,Grenoble,22.73,1,1,1,437
27,38000,France,Grenoble,56.25,1,1,1,551.12
28,38160,France,Saint-Marcellin,69,3,1,1,309
29,38780,France,Pont Eveque,43,2,1,2,495
30,38480,France,Saint Albin de Vaulserre,65,3,1,2,545
31,38300,France,Bourgoin Jallieu,52.33,2,1,1,568
32,38240,France,Meylan,42,1,1,2,580
33,38000,France,Grenoble,45,2,1,2,730
34,38150,France,Salaise sur Sanne,67.48,3,1,2,555
35,38080,France,L'Isle d'Abeau,70,3,1,3,648.51
36,38150,France,Roussillon,60,3,1,2,680
37,38110,France,La Tour du Pin,98.78,2,1,2,550
38,38300,France,Bourgoin Jallieu,63,4,1,2,685
39,38080,France,L'Isle-d'Abeau,24.9,3,1,2,674
40,38460,France,Leyrieu,71.14,3,1,2,642
41,38300,France,Bourgoin Jallieu,61,1,1,2,382
42,38110,France,La Chapelle de la Tour,66,4,1,,700
43,38390,France,Montalieu Vercieu,60,3,1,,650
44,38100,France,Grenoble,61,3,1,,740
45,38100,France,Grenoble,33,3,1,,795
46,38390,France,Montalieu Vercieu,60,3,1,,610
