,ville,idTypeBien,surface gr,prix loc,prix achat,yield,city,arr,price,yield bnb
68,Lille,2,"(50, 80]",516.0,249000.0,0.0248674699,Lille,,3420.0,0.013734939759036145
69,Lille,1,"(50, 80]",875.1428571429,239266.666666667,0.043891255,Lille,,3420.0,0.014293675118417367
70,Villeurbanne,1,"(0, 35]",441.652,211166.666666667,0.0250978248,Villeurbanne,,1155.0,0.005469613259668499
71,Montpellier,1,"(0, 35]",465.1005882353,221954.545454545,0.025145720899999998,Montpellier,,1211.333333334,0.0054575738958320815
72,Rennes,1,"(0, 35]",407.5,183712.5,0.0266176771,Rennes,,1151.0869565219998,0.006265697524784649
73,Toulouse,1,"(0, 35]",455.57730769230005,196577.333333333,0.02781057,Toulouse,,1067.3333333340001,0.005429584964020955
74,Bordeaux,2,"(50, 80]",863.985,367500.0,0.0282117551,Bordeaux,,2580.0,0.007020408163265306
75,Bordeaux,1,"(50, 80]",787.57,237195.263157895,0.0398441346,Bordeaux,,2580.0,0.010877114347273276
76,Dijon,2,"(50, 80]",900.0,373000.0,0.028954423599999998,Dijon,,1430.000000001,0.0038337801608605898
77,Dijon,1,"(50, 80]",571.7984444444,117919.058823529,0.058188908600000006,Dijon,,1430.000000001,0.012126962462794561
78,Brest,2,"(50, 80]",665.0,264700.0,0.0301473366,Brest,,1818.0,0.0068681526256139025
79,Brest,1,"(50, 80]",542.4929824561,84726.2452830189,0.0768347018,Brest,,1818.0,0.02145734174726104
80,Reims,1,"(0, 35]",392.4285714286,152157.7,0.0309490933,Reims,,1424.0625,0.009359122147613955
81,Reims,2,"(50, 80]",730.75,278848.15789473697,0.0314472223,Reims,,2105.000000001,0.007548911263726624
82,Reims,1,"(50, 80]",637.4051851851999,149116.014705882,0.051294706600000003,Reims,,2105.000000001,0.014116525338696345
83,Lille,1,"(0, 35]",516.0,183319.615384615,0.033777072799999995,Lille,,1361.584158417,0.0074273784371646145
84,Grenoble,1,"(50, 80]",565.2671428571,193961.538461538,0.0349719113,Grenoble,,2469.999999999,0.012734483442390273
85,Grenoble,1,"(0, 35]",454.6470588235,152650.0,0.0357403518,Grenoble,,1008.8571428580001,0.00660895606195873
86,Dijon,1,"(0, 35]",445.9333333333,149205.882352941,0.0358645377,Dijon,,1347.0731707319999,0.009028284605733895
87,Brest,1,"(0, 35]",377.6314285714,125600.0,0.0360794359,Brest,,1446.585365853,0.011517399409657644
88,Brest,2,"(80, 999999]",778.0464285714,234820.0,0.0397604852,Brest,,2300.000000001,0.009794736393837834
89,Brest,1,"(80, 999999]",690.34,109525.0,0.07563643,Brest,,2300.000000001,0.020999771741620633
90,Reims,2,"(80, 999999]",1056.4264705882001,294211.48648648604,0.0430884525,Reims,,3405.0,0.011573307489326733
91,Reims,1,"(80, 999999]",889.0013043478,146181.59375,0.0729778311,Reims,,3405.0,0.023292946209241886
92,Nimes,1,"(0, 35]",482.8333333333,127190.33333333301,0.045553776399999996,Nimes,,1122.0,0.008821425108302278
93,Lille,2,"(80, 999999]",1381.2857142857001,313583.333333333,0.0528581299,Lille,,4620.0,0.014732925857028982
94,Lille,1,"(80, 999999]",1985.3333333332998,291700.0,0.0816729517,Lille,,4620.0,0.01583818992115187
95,Saint-Étienne,1,"(0, 35]",360.0,79500.0,0.0543396226,Saint-Étienne,,2060.571428571,0.025919137466301888
96,Toulon,1,"(80, 999999]",885.0,188000.0,0.0564893617,Toulon,,2760.0,0.014680851063829787
97,Saint-Étienne,1,"(50, 80]",455.1122222222,94688.7391304348,0.0576768338,Saint-Étienne,,3630.0,0.038336131976576794
98,Toulon,1,"(50, 80]",694.3157894737,142206.25,0.0585894746,Toulon,,1665.0,0.01170834615215576
99,Nantes,2,"(80, 999999]",1613.0,255670.0,0.075706966,Nantes,,1650.0,0.006453631634528885
100,Saint-Étienne,1,"(80, 999999]",1260.0,199000.0,0.0759798995,Saint-Étienne,,2460.0,0.012361809045226132
